participant,trial,path,samples,channels
E01,trial_e7e5564c91,E01/trial_e7e5564c91/reference_normalised_envelope.parquet,13510,14
E01,trial_2bf9c576e6,E01/trial_2bf9c576e6/reference_normalised_envelope.parquet,13550,14
E01,trial_eb8fd29f83,E01/trial_eb8fd29f83/reference_normalised_envelope.parquet,17060,14
E01,trial_a4aac3f6f6,E01/trial_a4aac3f6f6/reference_normalised_envelope.parquet,3060,14
E01,trial_4907257fb9,E01/trial_4907257fb9/reference_normalised_envelope.parquet,3250,14
E01,trial_eece34b1e1,E01/trial_eece34b1e1/reference_normalised_envelope.parquet,2940,14
E01,trial_c1a5c449bf,E01/trial_c1a5c449bf/reference_normalised_envelope.parquet,3300,14
E01,trial_0a182abac1,E01/trial_0a182abac1/reference_normalised_envelope.parquet,3070,14
E01,trial_80825c7147,E01/trial_80825c7147/reference_normalised_envelope.parquet,2710,14
E01,trial_a633ca6886,E01/trial_a633ca6886/reference_normalised_envelope.parquet,2860,14
E01,trial_d303051e41,E01/trial_d303051e41/reference_normalised_envelope.parquet,1820,14
E01,trial_912e70863f,E01/trial_912e70863f/reference_normalised_envelope.parquet,1770,14
E01,trial_34752379b8,E01/trial_34752379b8/reference_normalised_envelope.parquet,1820,14
E01,trial_d672ad8e02,E01/trial_d672ad8e02/reference_normalised_envelope.parquet,1930,14
E01,trial_a435fc9b96,E01/trial_a435fc9b96/reference_normalised_envelope.parquet,1770,14
E01,trial_cceba9c44c,E01/trial_cceba9c44c/reference_normalised_envelope.parquet,1810,14
E01,trial_215064429e,E01/trial_215064429e/reference_normalised_envelope.parquet,1760,14
E01,trial_02897adfbd,E01/trial_02897adfbd/reference_normalised_envelope.parquet,3220,14
E01,trial_ce7bc47497,E01/trial_ce7bc47497/reference_normalised_envelope.parquet,3180,14
E01,trial_b04ff1cda0,E01/trial_b04ff1cda0/reference_normalised_envelope.parquet,2850,14
E01,trial_46b65c0803,E01/trial_46b65c0803/reference_normalised_envelope.parquet,3440,14
E01,trial_1f48577742,E01/trial_1f48577742/reference_normalised_envelope.parquet,2850,14
E01,trial_48ccade3e9,E01/trial_48ccade3e9/reference_normalised_envelope.parquet,2780,14
E01,trial_ebf23d622c,E01/trial_ebf23d622c/reference_normalised_envelope.parquet,2070,14
E01,trial_71fb5e093d,E01/trial_71fb5e093d/reference_normalised_envelope.parquet,2670,14
E01,trial_8eca807cc9,E01/trial_8eca807cc9/reference_normalised_envelope.parquet,10160,14
E01,trial_e0acef36b9,E01/trial_e0acef36b9/reference_normalised_envelope.parquet,8360,14
E01,trial_40fd31d224,E01/trial_40fd31d224/reference_normalised_envelope.parquet,8460,14
E01,trial_1dda902697,E01/trial_1dda902697/reference_normalised_envelope.parquet,8780,14
E01,trial_0367f40693,E01/trial_0367f40693/reference_normalised_envelope.parquet,9570,14
E01,trial_a255433148,E01/trial_a255433148/reference_normalised_envelope.parquet,8950,14
E01,trial_a83539940f,E01/trial_a83539940f/reference_normalised_envelope.parquet,9190,14
E01,trial_cb70159121,E01/trial_cb70159121/reference_normalised_envelope.parquet,7710,14
E01,trial_103d019947,E01/trial_103d019947/reference_normalised_envelope.parquet,5280,14
E01,trial_6b68b4b170,E01/trial_6b68b4b170/reference_normalised_envelope.parquet,4940,14
E01,trial_8d54ad4b46,E01/trial_8d54ad4b46/reference_normalised_envelope.parquet,7430,14
E01,trial_4042e5968a,E01/trial_4042e5968a/reference_normalised_envelope.parquet,5190,14
E01,trial_0fc971c76e,E01/trial_0fc971c76e/reference_normalised_envelope.parquet,4650,14
E01,trial_bf25291ee3,E01/trial_bf25291ee3/reference_normalised_envelope.parquet,5170,14
E01,trial_940c208e39,E01/trial_940c208e39/reference_normalised_envelope.parquet,7990,14
E01,trial_5bb1cc9b72,E01/trial_5bb1cc9b72/reference_normalised_envelope.parquet,5610,14
E01,trial_d7e5f2a490,E01/trial_d7e5f2a490/reference_normalised_envelope.parquet,5510,14
E01,trial_4a27f4b0ea,E01/trial_4a27f4b0ea/reference_normalised_envelope.parquet,5790,14
E01,trial_486aa02e2d,E01/trial_486aa02e2d/reference_normalised_envelope.parquet,5930,14
E01,trial_f9d1ab7410,E01/trial_f9d1ab7410/reference_normalised_envelope.parquet,5340,14
E01,trial_f101b7cbef,E01/trial_f101b7cbef/reference_normalised_envelope.parquet,5320,14
E01,trial_f2c007e375,E01/trial_f2c007e375/reference_normalised_envelope.parquet,7160,14
E01,trial_aef43817d1,E01/trial_aef43817d1/reference_normalised_envelope.parquet,6170,14
E01,trial_7236c89239,E01/trial_7236c89239/reference_normalised_envelope.parquet,5880,14
E01,trial_251a4996ff,E01/trial_251a4996ff/reference_normalised_envelope.parquet,5620,14
E01,trial_fe4e55bdf0,E01/trial_fe4e55bdf0/reference_normalised_envelope.parquet,5300,14
E01,trial_b1960cef10,E01/trial_b1960cef10/reference_normalised_envelope.parquet,5400,14
E01,trial_207f4e9f7f,E01/trial_207f4e9f7f/reference_normalised_envelope.parquet,7310,14
E01,trial_d9e46292f4,E01/trial_d9e46292f4/reference_normalised_envelope.parquet,5750,14
E01,trial_a498ab7abc,E01/trial_a498ab7abc/reference_normalised_envelope.parquet,6800,14
E01,trial_07c5a60672,E01/trial_07c5a60672/reference_normalised_envelope.parquet,7070,14
E01,trial_f086b95975,E01/trial_f086b95975/reference_normalised_envelope.parquet,6390,14
E01,trial_5c17165232,E01/trial_5c17165232/reference_normalised_envelope.parquet,7380,14
E01,trial_be98b67520,E01/trial_be98b67520/reference_normalised_envelope.parquet,8440,14
E01,trial_5e0dca4081,E01/trial_5e0dca4081/reference_normalised_envelope.parquet,8310,14
E01,trial_546179084f,E01/trial_546179084f/reference_normalised_envelope.parquet,7880,14
E01,trial_277abff0d8,E01/trial_277abff0d8/reference_normalised_envelope.parquet,7630,14
C01,trial_ffc10db23f,C01/trial_ffc10db23f/reference_normalised_envelope.parquet,84470,25
C01,trial_f1bf10eeea,C01/trial_f1bf10eeea/reference_normalised_envelope.parquet,94080,25
C01,trial_87e976b769,C01/trial_87e976b769/reference_normalised_envelope.parquet,94620,25
C01,trial_b4af0473c9,C01/trial_b4af0473c9/reference_normalised_envelope.parquet,111650,25
C01,trial_5946ca5426,C01/trial_5946ca5426/reference_normalised_envelope.parquet,125710,25
C01,trial_49b3331954,C01/trial_49b3331954/reference_normalised_envelope.parquet,120110,25
